matematicas,lectura_critica,ciencias_naturales,sociales_ciudadanas,ingles,dimension_1_logico_matematico,dimension_2_comprension_comunicacion,dimension_3_pensamiento_cientifico,dimension_4_analisis_social_humanistico,dimension_5_creatividad_innovacion,dimension_6_liderazgo_trabajo_equipo,dimension_7_pensamiento_critico,dimension_8_adaptabilidad_aprendizaje,area_conocimiento
363.7,201.4,300.5,317.8,229.8,4.1,2.7,2.8,2.9,2.0,4.4,3.0,3.2,9
212.4,367.4,409.3,322.4,175.0,1.9,3.2,3.6,4.4,2.6,2.3,2.6,4.1,14
231.5,252.6,290.5,304.0,308.9,3.5,3.1,3.6,2.5,2.7,3.0,3.6,3.3,4
175.7,398.2,265.3,418.5,232.4,2.6,4.6,2.3,4.4,2.5,3.2,4.6,4.0,18
186.8,455.8,443.2,377.8,260.1,1.4,5.0,4.7,1.9,1.0,4.1,2.1,4.3,13
394.6,295.2,224.3,193.3,300.2,4.7,3.2,1.8,1.0,1.1,4.2,3.9,3.0,2
286.9,338.8,219.9,429.2,271.2,3.3,4.4,1.3,4.5,1.4,4.4,2.7,2.5,19
413.2,255.9,402.7,214.7,233.6,3.9,2.8,3.5,1.3,1.7,2.4,3.6,4.0,26
282.0,248.2,295.8,284.6,201.4,2.6,2.2,3.3,3.2,2.4,2.9,2.6,2.5,7
333.7,267.5,366.6,235.8,274.7,4.3,2.4,4.1,1.4,1.3,2.5,4.5,1.7,10
209.5,355.6,193.3,291.8,344.9,1.8,3.9,1.6,3.8,2.0,2.9,1.9,3.0,28
272.4,218.9,228.4,291.3,311.4,3.0,3.3,3.9,3.1,3.0,3.3,3.1,3.7,4
341.0,209.6,250.8,302.4,296.0,2.2,2.6,2.5,2.7,2.5,2.7,3.0,1.6,4
197.3,323.8,353.2,378.0,213.1,2.7,3.5,4.4,4.8,2.2,2.1,3.1,3.3,14
239.8,359.2,335.8,283.8,226.0,1.0,5.0,4.1,2.6,1.4,4.0,3.1,4.7,13
154.5,391.3,245.3,259.4,199.7,1.0,4.7,1.0,2.5,4.7,2.2,2.6,2.9,21
197.8,366.2,293.2,313.4,284.7,2.0,4.7,2.2,2.5,3.4,2.9,4.9,3.4,20
409.2,233.7,247.6,240.3,233.2,3.1,2.0,2.9,1.8,2.0,3.6,4.4,2.6,30
263.6,381.2,324.3,245.8,306.1,1.0,5.0,5.0,2.3,1.1,4.7,2.6,4.4,13
291.2,304.9,264.0,202.0,267.2,1.9,2.4,2.2,2.6,2.8,2.5,3.5,3.1,3
221.9,343.2,332.5,266.9,323.6,1.3,4.7,4.5,3.2,1.5,4.6,2.4,4.0,13
283.1,234.6,242.2,249.7,354.3,2.3,2.3,2.1,3.0,2.9,2.1,2.3,2.6,5
217.2,443.5,260.8,277.5,282.3,1.0,4.7,1.3,2.7,4.3,2.4,2.7,1.8,21
395.5,299.1,406.9,240.8,244.5,3.8,2.7,3.5,1.4,2.2,3.2,2.7,4.3,23
393.3,231.4,356.1,207.9,197.8,4.1,3.3,4.5,2.2,1.5,2.7,4.0,2.5,9
179.2,378.7,389.5,370.1,331.0,1.1,5.0,3.9,3.6,1.4,2.8,2.9,4.2,14
394.1,284.9,326.7,176.4,243.0,4.6,2.1,4.2,1.6,2.1,2.9,4.9,2.5,12
270.6,211.9,194.4,254.2,213.4,2.0,2.4,3.2,2.7,2.8,2.7,2.7,3.0,7
326.6,303.0,304.0,265.6,286.7,2.7,3.9,2.7,3.2,3.3,2.8,3.5,2.1,4
417.1,268.0,367.0,196.5,273.5,3.5,3.1,3.7,1.0,1.7,2.9,3.6,4.2,23
278.6,254.6,305.8,259.7,327.3,3.1,2.2,2.6,2.2,2.8,2.6,2.2,2.6,7
369.5,267.7,281.5,360.9,220.9,4.4,2.7,3.2,4.4,1.6,2.8,4.5,3.1,9
245.4,385.9,186.5,333.6,260.4,2.4,4.2,1.4,3.7,1.2,3.5,2.8,2.1,19
345.3,208.5,204.9,262.2,211.2,3.6,2.7,1.5,2.3,2.0,4.0,4.3,2.6,2
204.6,401.9,196.5,226.8,241.4,3.0,4.6,1.1,1.0,2.9,4.7,4.1,2.1,29
150.0,412.4,408.7,395.5,150.0,1.2,4.1,4.1,4.4,1.4,2.2,2.6,3.7,14
371.0,372.4,237.3,231.2,273.4,4.6,3.8,4.5,2.4,4.0,1.7,2.8,1.9,27
362.7,226.6,322.3,295.0,224.5,3.8,2.4,3.7,2.3,1.9,2.8,2.3,3.7,23
336.6,250.2,381.1,271.5,302.1,4.1,2.4,4.2,1.9,1.4,2.2,4.2,2.2,12
203.9,353.4,386.1,278.4,267.0,1.6,3.0,4.3,2.4,1.7,4.3,2.5,4.0,13
303.5,311.5,263.9,267.4,250.2,3.2,3.1,3.5,3.1,3.0,3.2,2.7,3.4,6
286.5,418.7,240.6,262.9,232.6,1.0,4.7,1.1,2.6,4.9,2.8,4.6,3.6,20
257.9,379.5,200.7,218.1,240.1,2.0,5.0,1.4,3.0,4.1,3.1,4.3,3.5,22
306.2,268.3,230.3,328.0,245.7,3.0,2.4,2.4,2.3,3.2,2.3,2.3,2.1,7
253.4,244.2,315.2,289.2,277.1,3.2,3.2,2.9,1.8,2.6,2.7,2.9,3.6,5
361.8,202.2,297.6,184.5,198.6,3.8,3.2,4.3,1.2,1.0,2.3,3.9,2.8,15
152.8,407.6,190.7,399.5,324.6,1.0,4.6,1.4,4.4,3.5,4.7,2.7,4.7,16
379.9,296.0,205.0,236.3,217.8,4.3,2.5,1.5,2.8,1.0,4.1,3.2,4.4,25
256.2,314.0,233.1,383.4,320.5,1.4,4.6,1.2,4.0,3.1,4.6,3.4,4.3,16
268.5,382.0,286.8,378.7,260.7,4.6,2.7,1.2,5.0,2.7,3.5,3.5,3.4,2
227.5,370.4,365.8,350.2,255.9,1.1,4.5,4.3,4.2,1.7,2.7,2.2,4.0,14
283.7,369.0,150.0,380.2,332.0,4.0,4.6,1.8,3.9,2.4,3.9,2.7,3.3,19
319.9,280.1,231.2,197.5,265.3,4.6,2.5,3.8,1.2,1.7,2.7,2.5,4.7,27
256.0,249.3,347.0,264.2,226.9,3.3,1.6,2.8,3.4,2.9,3.0,3.2,3.2,5
395.8,200.5,235.1,246.3,262.9,3.8,3.6,2.8,2.3,1.0,3.6,4.3,3.8,11
381.1,247.1,253.8,364.4,297.5,4.1,2.5,1.3,2.5,1.0,3.9,3.6,4.6,1
364.2,330.4,352.1,249.8,268.5,3.1,2.5,4.0,1.2,4.4,2.0,5.0,2.6,20
338.7,249.9,241.6,313.6,192.6,4.1,3.2,2.1,3.3,1.0,3.7,4.5,5.0,1
178.9,429.9,217.7,373.2,241.1,3.6,4.4,1.8,4.3,1.9,4.3,3.0,2.9,19
164.4,339.6,267.7,306.0,255.6,1.9,3.8,1.1,3.1,4.4,2.3,4.4,3.1,22
395.7,223.2,191.7,371.9,327.3,4.4,2.1,1.3,2.2,1.5,4.7,4.5,4.2,1
339.2,213.4,351.9,194.3,300.7,3.6,3.1,4.5,1.7,1.4,2.6,3.8,3.3,9
212.2,360.6,161.2,299.6,348.8,1.2,3.5,1.5,2.8,3.8,3.4,3.3,3.2,21
214.0,379.5,187.9,419.5,201.8,2.8,4.0,1.3,4.6,1.8,4.2,2.7,2.7,19
402.7,247.9,221.4,311.8,309.6,3.9,2.3,1.9,2.0,2.1,4.0,2.5,4.1,25
384.9,364.2,448.8,333.2,232.1,3.7,4.1,4.7,1.8,1.5,2.0,5.0,4.0,2
194.3,261.0,399.1,381.1,233.7,1.0,2.2,5.0,4.7,1.7,3.3,5.0,4.2,24
310.1,287.2,227.6,393.0,278.9,4.8,3.3,1.8,2.4,1.3,4.4,4.6,4.2,1
329.2,261.0,254.5,287.0,224.1,4.3,2.3,1.2,3.1,1.9,4.2,3.0,3.9,25
271.2,385.9,221.3,299.7,301.9,3.3,3.6,1.8,4.1,1.5,3.9,3.4,2.7,19
368.0,244.3,355.7,150.0,257.5,5.0,2.9,4.4,1.9,1.0,3.2,4.8,2.5,15
366.8,244.5,425.6,192.5,177.1,4.2,2.3,4.2,1.3,1.3,2.3,4.1,3.2,10
337.3,256.6,229.8,180.3,241.4,3.9,3.5,2.2,3.1,1.7,3.5,3.2,4.4,25
295.1,250.8,415.7,153.5,330.0,4.0,3.1,4.3,1.0,1.8,2.9,3.4,2.9,15
348.8,287.6,264.4,330.4,236.1,4.3,2.6,1.2,2.9,1.2,4.2,3.8,4.5,1
446.0,252.0,359.8,214.6,242.3,3.7,2.6,4.4,1.7,2.1,2.9,2.4,4.2,26
344.6,315.3,376.8,206.7,376.7,2.0,4.1,2.6,4.1,1.7,2.4,4.0,4.1,28
162.9,403.2,197.3,213.0,247.1,2.1,4.5,1.2,2.4,4.6,2.8,3.2,2.4,21
251.5,322.8,208.2,329.5,216.7,2.5,4.0,1.6,5.0,1.5,4.6,3.0,3.1,19
233.3,242.8,267.6,267.0,272.9,3.1,3.3,2.9,2.7,3.0,3.3,3.2,2.5,4
358.5,278.4,317.0,217.2,279.8,3.5,2.3,2.2,1.1,2.0,4.1,4.3,2.2,30
242.8,355.4,235.4,283.5,228.1,1.5,3.7,1.6,2.5,4.2,2.4,4.0,2.5,20
328.1,301.4,240.3,255.8,283.3,2.1,1.8,2.8,3.1,2.3,3.0,2.5,2.7,3
264.5,264.9,239.7,212.1,278.1,4.7,3.0,5.0,2.0,1.0,3.8,3.0,4.5,27
219.6,308.9,299.3,355.3,232.0,1.7,4.2,4.2,3.5,1.4,2.6,1.9,4.1,14
284.9,240.4,317.3,199.3,247.4,2.3,3.3,2.9,2.6,2.4,2.2,2.1,2.7,6
356.4,223.4,332.0,212.5,179.3,4.3,2.5,3.7,1.9,1.8,2.3,3.5,3.2,15
234.0,266.4,254.4,213.2,240.3,3.0,3.0,2.9,2.3,3.2,2.9,2.4,3.1,5
365.0,281.1,186.9,206.8,241.8,3.4,2.4,2.4,1.6,1.9,3.8,3.5,3.5,2
234.7,426.7,312.8,269.6,317.4,1.8,4.2,1.9,4.1,2.0,3.3,3.1,2.7,28
387.8,303.8,236.0,227.6,276.3,4.7,2.4,1.0,1.6,1.0,5.0,4.8,2.6,2
317.3,298.7,289.9,272.2,193.4,2.7,2.9,2.6,1.9,2.4,2.4,2.8,2.2,7
228.7,378.2,295.0,314.8,279.0,3.8,4.0,2.7,3.1,3.2,3.0,3.6,2.4,3
274.8,340.0,244.5,260.5,406.8,1.3,4.0,2.2,4.3,1.0,2.4,2.6,2.8,28
194.4,464.3,228.6,377.0,273.4,1.4,3.7,1.7,3.8,3.0,4.4,3.4,4.0,16
183.1,277.3,367.1,341.2,234.0,1.4,2.1,3.6,3.8,1.0,2.8,3.6,3.3,24
340.5,387.5,228.2,212.5,376.5,2.8,5.0,1.8,4.4,2.8,5.0,4.0,2.9,11
150.0,387.7,340.2,281.5,247.2,1.6,4.5,4.0,2.9,1.3,3.5,2.9,4.0,13
204.3,339.3,239.3,284.5,273.6,1.2,4.1,1.4,2.7,4.1,3.1,4.5,2.7,20
277.6,293.0,220.5,220.8,240.7,3.4,3.1,2.3,2.8,2.9,3.1,3.8,2.9,6
377.2,259.6,351.4,178.6,276.3,4.2,2.7,3.4,1.0,2.1,2.9,2.7,4.7,23
262.1,382.2,230.6,258.1,284.2,2.1,3.4,1.0,3.1,4.6,2.9,3.5,2.2,20
412.1,318.9,354.6,150.8,251.5,4.3,2.7,5.0,1.7,1.4,2.1,2.6,4.9,26
335.6,388.5,247.6,279.5,305.8,3.0,5.0,1.6,1.1,2.6,3.9,5.0,2.5,29
199.5,397.2,180.3,345.5,189.9,1.5,4.3,1.8,4.4,4.6,2.5,2.7,3.9,17
224.8,365.0,241.2,455.4,229.3,1.7,4.6,1.6,4.0,4.3,2.2,2.6,3.9,17
374.0,255.4,329.6,269.4,266.4,4.3,2.3,4.4,1.8,1.5,2.8,2.4,4.4,27
289.5,236.8,364.0,237.9,266.3,4.0,3.4,3.9,1.2,1.0,2.8,2.2,3.8,23
368.0,242.9,413.6,203.0,216.9,4.6,3.6,4.5,2.2,1.9,2.5,4.1,5.0,8
332.6,238.6,356.3,211.6,206.6,4.5,3.4,3.8,1.5,2.2,3.8,4.3,3.0,9
323.5,272.4,275.8,327.6,278.5,3.2,3.0,3.0,3.1,2.9,3.1,3.7,2.8,7
195.4,217.4,426.7,348.2,323.5,2.2,3.1,4.6,3.9,1.3,2.6,4.6,4.3,24
339.4,279.4,264.6,293.0,269.8,3.9,2.7,1.6,2.3,1.0,4.5,2.7,4.3,25
405.4,363.2,457.3,396.1,298.2,3.2,3.4,4.4,4.4,1.4,4.0,5.0,2.7,19
240.5,391.8,181.2,150.0,272.1,1.3,3.7,1.8,2.6,4.4,2.4,3.4,3.2,21
437.2,164.1,239.5,215.9,235.5,3.5,2.7,1.9,1.4,1.7,3.7,3.5,2.9,2
376.2,295.6,316.8,195.8,227.9,3.8,2.0,4.3,1.7,1.1,2.5,3.5,3.2,10
320.7,412.5,285.0,221.1,197.1,4.3,4.8,2.9,2.7,4.6,3.5,2.8,4.4,21
347.7,226.1,275.4,251.7,235.4,3.9,3.0,4.2,1.2,1.0,2.6,2.2,4.3,26
300.2,273.0,263.9,245.3,288.5,3.2,2.4,3.1,2.8,2.8,2.6,2.1,2.2,4
264.5,328.2,415.5,236.9,232.7,1.9,5.0,3.9,2.2,1.5,4.0,1.9,3.8,13
358.1,250.1,361.3,162.6,217.7,4.5,3.4,3.7,1.4,1.7,2.4,3.7,3.3,10
211.5,387.4,244.3,282.5,401.0,1.3,4.3,1.5,4.0,1.4,2.1,2.5,2.3,28
170.9,349.6,235.4,312.2,431.7,2.0,4.5,1.5,3.8,1.4,3.4,2.9,2.7,28
256.5,221.7,190.7,284.6,277.4,2.6,2.4,3.2,2.8,2.8,3.1,2.6,2.8,7
227.0,273.0,297.1,366.1,217.8,1.8,2.0,4.2,4.7,1.0,2.8,4.1,4.8,24
213.5,363.3,296.3,407.2,233.4,1.8,5.0,1.7,4.3,3.4,3.3,4.6,3.6,18
209.6,432.9,215.8,282.3,250.1,2.2,3.2,1.3,2.9,3.2,3.0,2.6,3.8,21
249.9,245.9,286.2,263.7,207.9,2.8,2.9,3.2,2.3,3.1,2.9,3.6,3.0,7
180.6,385.1,181.1,411.0,297.3,1.4,3.8,1.6,4.2,3.8,3.1,2.6,3.9,17
328.3,331.7,272.3,352.7,246.8,4.2,2.9,1.5,3.5,4.0,3.1,4.2,3.6,22
361.9,218.9,373.5,246.7,282.6,4.7,3.1,3.6,1.5,1.4,2.7,4.3,2.6,9
425.5,275.3,364.4,395.7,226.4,3.7,2.5,4.4,2.3,1.5,3.4,4.0,2.5,24
320.3,238.4,409.9,221.2,351.4,4.0,1.5,4.2,1.0,1.1,2.9,4.4,2.5,15
230.8,378.3,239.1,309.8,290.3,2.0,4.2,1.4,2.6,4.0,2.9,3.6,2.7,20
242.8,438.2,181.0,218.3,214.1,2.3,3.4,1.4,1.6,3.2,4.3,2.9,2.2,29
396.9,291.5,459.1,190.2,273.8,4.2,3.2,4.5,1.3,1.4,2.9,2.0,4.7,23
169.2,362.6,153.9,241.1,311.7,1.0,4.0,1.4,3.0,3.8,2.4,2.9,2.2,21
374.7,266.0,392.4,240.3,241.9,4.3,3.6,3.2,1.3,2.0,3.3,4.3,2.8,12
197.1,363.2,197.9,385.6,287.6,1.8,3.9,2.1,3.6,2.0,3.9,2.8,4.2,16
183.9,461.4,238.0,237.4,255.8,1.0,3.9,1.6,2.8,4.2,2.4,3.8,3.0,20
385.0,280.7,237.8,214.4,295.9,4.7,3.5,1.5,1.5,1.2,4.2,4.8,3.4,2
183.4,404.9,261.4,382.0,287.8,1.7,4.0,1.0,4.4,2.0,1.8,4.3,4.0,18
405.0,274.1,341.3,217.0,300.2,4.9,2.4,4.6,1.9,1.7,2.8,4.7,2.6,12
172.9,352.4,250.1,305.4,201.4,2.1,4.9,2.0,4.6,2.7,2.6,4.1,4.6,18
257.7,372.9,235.3,217.7,235.1,2.7,4.3,1.7,3.3,4.0,3.1,3.8,3.3,20
304.2,155.3,279.3,307.9,214.2,3.1,3.0,3.7,3.3,2.9,2.7,2.6,2.6,7
200.9,288.0,340.0,327.4,246.6,1.1,2.8,4.1,4.5,2.0,2.9,4.5,3.9,24
276.6,284.9,294.5,306.3,284.7,2.8,3.4,2.6,2.9,3.4,3.4,2.9,3.4,4
201.2,336.6,186.6,256.6,252.2,2.6,4.6,1.4,1.5,2.4,4.0,5.0,1.9,29
239.3,449.5,244.0,413.5,292.9,2.4,4.0,1.3,4.5,1.4,4.5,3.2,2.0,19
237.9,235.8,268.6,280.4,214.5,2.2,3.5,2.1,3.5,2.5,2.3,2.7,2.1,7
371.4,347.1,353.9,428.4,235.5,4.4,4.2,3.9,1.7,4.2,3.0,5.0,2.7,24
352.1,326.7,248.5,252.5,309.7,4.4,3.3,1.0,1.4,1.0,4.7,4.9,2.2,2
367.0,185.9,164.2,256.3,300.2,3.5,2.8,2.2,2.9,1.0,4.0,2.6,4.0,25
380.4,257.9,412.6,223.5,213.9,3.8,3.1,4.0,1.8,1.8,2.7,4.3,2.8,9
357.7,247.7,366.5,237.1,236.2,4.0,2.3,4.5,1.0,1.0,2.7,4.7,2.8,15
334.5,188.6,237.5,242.3,261.8,4.0,2.6,1.6,1.4,1.2,4.8,5.0,3.1,2
366.3,245.8,369.3,194.4,227.9,4.1,1.8,4.1,1.3,1.1,2.5,2.5,4.8,26
320.7,266.3,245.3,210.4,268.7,3.7,3.3,1.1,2.5,1.4,4.8,3.0,3.7,25
370.8,272.4,377.1,291.8,298.7,4.8,2.8,3.4,1.4,1.0,2.5,4.1,2.4,9
275.0,417.2,428.3,351.8,332.5,3.5,4.4,4.3,3.9,1.1,3.1,2.8,5.0,13
273.2,300.1,237.7,346.8,278.2,1.2,3.7,1.3,3.6,3.6,2.3,3.2,3.4,17
370.7,227.2,280.5,215.6,305.4,4.6,3.1,1.5,2.0,1.0,4.7,2.3,4.1,25
442.5,207.0,297.3,253.0,281.5,4.3,3.1,4.8,1.8,2.8,2.7,5.0,3.0,11
219.4,252.5,209.3,253.4,264.6,2.6,2.5,2.4,2.0,2.3,2.4,2.7,3.1,6
248.2,236.6,283.8,292.5,210.1,2.6,2.8,2.7,3.0,2.7,3.6,3.3,2.8,4
249.2,356.2,243.1,244.9,271.3,1.3,4.1,1.3,3.2,4.7,2.5,4.1,2.2,20
274.8,290.2,294.9,277.7,261.6,1.0,4.0,2.5,2.4,4.6,2.3,4.2,3.3,22
307.4,375.5,178.2,371.9,214.3,2.1,4.5,1.4,4.4,1.0,4.6,2.8,2.8,19
356.4,261.4,193.2,302.3,313.8,4.5,2.4,1.5,2.4,1.8,3.4,3.3,3.5,1
273.4,353.4,189.4,263.6,274.6,2.8,4.4,1.3,1.0,2.7,5.0,4.2,2.9,29
290.8,227.3,375.2,218.1,245.4,4.0,2.6,3.8,1.3,1.7,3.1,3.8,2.4,12
346.2,260.6,365.5,382.8,266.5,3.8,3.2,3.9,1.9,1.7,3.0,3.9,3.3,9
392.4,276.5,403.5,211.9,293.2,4.6,2.9,4.1,1.0,2.1,3.1,3.9,3.0,9
156.6,431.6,188.3,299.4,205.3,1.1,4.2,1.3,2.6,3.9,2.2,3.9,2.9,22
244.3,406.6,233.2,269.0,479.5,1.8,4.6,1.1,4.3,1.4,3.1,2.5,3.4,28
342.9,268.5,428.8,270.5,317.1,3.8,3.6,3.8,1.0,1.2,2.9,4.6,3.0,15
470.1,426.8,220.6,377.7,244.9,4.0,4.2,1.3,4.0,1.8,3.9,3.4,2.5,25
228.4,275.7,247.1,252.6,228.5,2.8,3.1,2.6,2.9,3.3,3.1,2.2,3.0,5
339.8,312.6,247.5,249.1,330.3,2.9,3.0,2.8,3.0,2.9,2.7,2.6,3.1,5
229.4,227.4,229.0,263.4,221.1,2.8,2.6,2.2,2.4,2.9,2.8,2.4,2.7,6
381.3,295.2,286.1,169.2,260.9,4.1,2.4,3.1,1.8,1.3,3.7,4.4,2.9,30
401.8,334.5,239.8,268.7,271.3,4.0,3.0,1.6,2.8,2.6,4.4,4.0,3.9,25
367.1,282.7,377.0,195.6,222.2,4.8,2.9,3.6,1.0,1.6,3.3,3.1,4.4,26
293.7,429.6,355.3,369.0,264.9,1.7,4.4,4.1,4.3,1.5,1.7,3.8,4.3,14
424.1,225.7,380.0,197.7,250.6,4.8,3.2,5.0,1.6,1.5,2.5,4.5,2.7,9
330.3,291.1,222.6,251.6,218.6,2.4,4.7,1.4,1.4,2.5,3.7,4.8,2.6,29
305.4,422.2,185.9,396.5,272.0,1.4,4.4,1.9,3.8,2.3,2.2,4.0,4.1,18
193.5,392.0,186.3,375.7,279.9,2.3,4.1,2.0,3.4,3.0,2.5,3.6,3.9,18
210.4,291.9,334.8,351.7,239.2,1.7,2.5,5.0,4.4,1.7,1.5,4.4,4.4,24
209.8,269.7,388.4,356.1,277.7,1.5,2.1,4.6,5.0,2.1,2.8,4.4,4.4,24
191.1,387.4,181.1,221.2,271.5,1.4,3.9,1.3,2.6,3.9,2.4,2.8,2.8,21
223.8,399.2,172.1,230.3,351.5,2.1,3.9,1.6,4.3,1.6,2.1,2.8,2.3,28
284.6,275.4,281.6,170.7,266.2,3.1,2.4,3.0,3.1,3.5,2.7,3.0,3.4,7
204.1,364.8,304.7,264.4,216.5,2.0,4.4,4.1,2.7,1.3,4.0,2.1,4.0,13
450.8,408.8,350.7,378.3,265.4,2.7,2.8,5.0,2.6,5.0,2.6,2.2,4.2,17
333.8,372.4,393.6,297.7,263.5,3.3,4.3,1.5,3.3,1.4,3.5,3.1,3.7,25
228.1,363.6,345.1,288.8,324.6,1.6,4.4,4.9,3.6,1.0,3.9,3.0,4.5,13
350.7,364.3,413.2,247.9,274.3,4.4,3.0,3.7,1.8,1.4,2.8,3.5,3.7,26
312.8,260.2,270.2,232.8,281.8,2.7,3.0,2.7,2.9,3.1,2.4,3.8,2.9,5
227.6,387.1,384.3,408.8,255.8,1.6,4.1,4.0,2.9,1.7,2.2,2.2,3.6,14
324.9,257.9,279.7,261.7,247.6,3.4,2.8,2.8,2.9,2.2,3.3,2.9,3.5,5
327.2,284.2,245.9,224.2,292.6,3.7,2.9,1.8,1.2,1.3,4.4,4.2,3.0,2
266.8,380.6,290.8,357.8,311.3,1.7,4.0,2.9,2.4,1.0,3.8,2.6,3.8,13
375.1,301.8,384.8,205.4,230.8,3.5,3.2,4.0,1.4,1.1,2.3,3.7,3.2,9
173.0,408.8,215.6,301.7,284.2,1.8,4.1,1.5,2.6,3.7,2.5,3.1,3.1,21
253.9,255.5,286.0,218.7,288.7,2.6,2.4,3.2,2.7,3.4,3.2,2.9,3.0,5
207.4,365.2,411.1,379.4,239.5,2.0,4.6,4.9,4.0,1.7,3.3,2.7,4.2,14
241.8,342.5,402.9,248.4,244.8,1.6,4.1,1.6,2.7,2.4,4.6,3.7,4.7,13
262.2,346.9,297.0,284.7,315.0,2.4,3.5,3.2,2.8,2.7,3.3,3.3,2.3,3
348.4,243.3,388.0,150.0,326.1,3.6,3.0,4.7,1.0,1.0,3.0,4.3,2.3,9
422.1,231.0,347.8,219.9,265.8,4.7,2.0,4.0,2.0,2.1,2.8,2.5,3.9,26
410.2,195.3,391.4,226.9,319.9,4.2,2.7,4.1,1.5,1.1,2.7,2.7,3.8,26
432.7,274.2,344.9,207.9,236.4,3.7,3.3,4.5,2.0,1.0,3.2,4.5,2.9,12
404.6,208.0,362.2,205.3,250.0,4.3,2.4,4.5,1.2,2.0,2.6,4.6,2.3,9
399.4,253.2,396.8,156.4,296.7,3.6,2.9,4.0,1.7,1.5,3.3,4.4,3.1,15
285.6,413.0,244.1,474.2,299.5,1.6,4.3,1.2,4.8,3.6,3.2,4.0,3.5,18
226.4,229.2,230.0,212.0,235.9,2.6,2.5,3.5,2.8,3.1,3.2,3.1,3.0,6
212.1,280.5,268.1,254.1,258.6,2.4,1.8,2.9,2.8,2.5,1.7,2.2,2.6,7
194.3,364.8,161.9,239.3,331.7,1.7,4.0,1.8,4.4,2.0,3.3,3.2,2.4,28
237.3,428.7,348.0,294.9,297.9,1.5,4.6,4.7,3.0,1.7,3.8,2.4,4.2,13
241.8,243.4,268.0,265.1,251.7,3.4,3.0,2.5,2.4,2.5,2.7,2.6,2.3,5
290.8,293.2,287.4,268.6,258.6,4.5,3.0,4.8,1.3,1.6,3.4,4.1,2.5,12
223.9,238.5,262.6,317.5,282.0,2.9,2.3,2.6,2.1,2.1,2.7,3.5,2.6,4
282.5,368.5,213.3,387.1,201.1,2.1,4.0,2.1,3.3,3.6,3.9,3.6,3.4,21
197.7,325.6,163.5,243.5,339.1,1.0,4.2,1.6,3.9,1.0,2.6,3.2,2.9,28
312.1,423.3,247.4,233.2,195.3,1.5,4.3,1.0,3.3,3.4,2.9,4.0,3.4,22
382.9,259.1,399.8,387.7,268.7,4.3,2.8,4.6,1.4,1.9,3.0,4.1,4.8,8
374.5,217.9,432.8,229.4,264.0,4.3,2.8,3.8,1.6,1.5,3.5,4.3,3.5,8
259.8,369.6,403.3,438.2,235.5,1.8,4.7,2.9,2.8,1.4,3.1,3.1,4.9,13
252.6,347.4,195.8,347.9,281.8,3.2,4.1,1.5,5.0,1.4,4.0,3.2,3.0,19
197.6,268.7,366.3,370.9,243.8,1.9,2.4,4.0,4.2,1.2,2.3,3.7,3.6,24
214.6,372.6,411.1,363.2,239.2,1.5,4.0,3.9,4.3,2.4,3.3,3.5,3.6,14
186.1,330.7,166.5,366.9,288.7,1.3,4.3,1.5,3.1,4.3,3.3,3.1,2.3,21
371.4,255.8,369.8,211.8,247.8,3.7,2.0,4.6,1.1,1.0,2.0,2.3,4.1,26
263.7,277.8,408.6,367.9,219.4,1.4,2.1,5.0,4.9,1.0,3.0,4.2,4.4,24
200.5,275.8,229.2,275.6,311.7,2.9,2.6,2.5,2.2,2.4,3.6,2.2,3.0,4
225.5,318.7,246.4,359.5,266.0,1.3,4.0,1.7,3.1,2.8,3.3,3.8,4.3,18
433.8,308.8,360.5,221.3,278.4,4.0,2.3,3.6,2.0,1.0,2.2,3.5,3.1,10
377.4,398.0,250.0,379.3,227.4,4.8,2.8,3.2,4.1,2.9,2.8,2.9,4.9,14
211.4,364.7,279.6,354.0,267.3,1.4,4.7,1.2,4.2,2.5,2.5,4.6,4.3,18
378.3,342.4,231.3,346.8,262.6,3.0,4.6,1.9,4.5,1.1,4.6,2.2,2.5,19
182.5,356.3,208.6,255.0,303.7,2.8,4.2,1.0,1.5,3.2,4.7,4.3,3.1,29
217.6,260.5,335.5,244.8,283.9,3.6,2.7,3.6,2.3,3.2,3.5,3.0,2.9,3
423.2,334.6,340.5,184.0,299.2,4.7,2.1,4.4,1.5,1.5,3.2,4.8,2.8,15
315.0,283.7,209.4,229.5,256.8,3.0,2.5,2.8,3.6,2.5,2.8,3.9,3.1,6
325.3,227.9,327.4,197.6,317.6,4.7,2.4,3.8,1.5,1.1,2.9,4.9,3.1,9
170.1,411.0,439.5,402.3,283.1,2.3,4.4,4.5,4.3,1.5,3.9,2.3,4.7,14
218.5,307.5,218.2,305.8,268.2,2.0,4.1,2.1,3.3,4.4,2.7,3.0,2.4,21
290.1,374.9,217.7,214.2,310.6,2.3,4.2,1.8,2.2,4.1,2.8,3.6,3.2,20
316.5,220.9,376.8,246.6,234.7,4.3,2.0,4.5,1.1,2.5,3.0,4.5,1.9,15
386.6,234.6,213.6,251.5,253.1,4.3,2.7,1.0,2.4,1.4,4.8,2.4,4.5,25
317.4,319.1,243.1,244.0,245.7,2.5,2.3,2.7,2.5,3.2,1.9,2.0,2.0,5
391.8,274.6,198.1,244.4,258.8,3.7,2.6,1.4,2.1,2.1,4.5,4.6,3.1,2
